Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
BO,YOLOv11-Byte,3.3974,3.3974,0.9239,1.0,1.0,1
BO,YOLOv11-BoT,3.0823,3.0823,0.9215,1.0,1.0,1
BO,YOLOv8-Byte,3.2779,3.2779,0.9162,1.0,1.0,1
BO,YOLOv8-BoT,3.012,3.012,0.915,1.0,1.0,1
BO,YOLOv11-NCNN+KCF-30,46.8195,46.8195,0.9119,1.0,1.0,1
BO,YOLOv8-NCNN+KCF-30,48.1733,48.1733,0.9082,1.0,1.0,1
BO,YOLOv11-NCNN+CSRT-90,17.7787,17.7787,0.9053,1.0,1.0,1
BO,YOLOv8-NCNN+CSRT-90,16.9619,16.9619,0.8921,1.0,1.0,1
BO,YOLOv11-NCNN+MOSSE-30,452.2543,452.2543,0.8747,1.0,1.0,1
BO,YOLOv8-NCNN+MOSSE-30,447.741,447.741,0.8728,1.0,1.0,1
BO,YOLOv8-NCNN+KCF,46.4888,46.8454,0.8532,0.921,0.987,2
BO,YOLOv8-NCNN+KCF-15-class-rest,46.62,46.9813,0.8532,0.921,0.987,2
BO,YOLOv8-NCNN+MEDIANFLOW-15-class-rest,97.6456,97.6456,0.8712,0.895,0.9805,2
BO,YOLOv11-NCNN+MOSSE,414.9543,414.9543,0.84,0.868,0.9848,2
BO,YOLOv8-NCNN+KCF-30-class-rest,42.7374,43.0324,0.8218,0.8647,0.9697,2
BO,YOLOv11-NCNN+KCF-30-class-rest,43.0052,42.8454,0.8382,0.8636,0.9827,2
BO,YOLOv8-NCNN+MOSSE,403.3608,403.3608,0.8244,0.856,0.9588,2
BO,YOLOv8-NCNN+MOSSE-15-class-rest,405.4729,405.4729,0.8244,0.856,0.9588,2
BO,YOLOv8-NCNN+MEDIANFLOW-30-class-rest,100.246,100.246,0.8444,0.8474,0.9567,2
BO,YOLOv11-NCNN+CSRT,16.2258,16.2258,0.8183,0.8344,0.9308,2
BO,YOLOv11-NCNN+MOSSE-30-class-rest,414.5378,414.5378,0.8026,0.816,0.9437,2
BO,YOLOv8-NCNN+CSRT,16.057,16.057,0.7888,0.8095,0.8961,2
BO,YOLOv8-NCNN+MOSSE-30-class-rest,393.4872,393.4872,0.7826,0.8074,0.8982,2
BO,YOLOv8-NCNN+MEDIANFLOW-60-class-rest,99.5607,99.5607,0.794,0.8041,0.9037,2
BO,YOLOv11-NCNN+CSRT-90-class-rest,15.8638,15.8638,0.7811,0.7966,0.8961,2
BO,YOLOv11-NCNN+KCF,41.871,37.196,0.756,0.7857,0.8614,2
BO,YOLOv8-NCNN+BOOSTING-30-class-rest,20.0264,19.6629,0.7658,0.763,0.894,2
BO,YOLOv8-NCNN+CSRT-90-class-rest,15.2224,15.2224,0.7523,0.7489,0.8258,2
BO,YOLOv8-NCNN+BOOSTING-60-class-rest,19.9,19.4644,0.7086,0.7365,0.8063,2
BO,YOLOv11-NCNN-BoT,8.41,8.4463,0.6919,0.7208,0.764,2
BO,YOLOv8-NCNN-BoT,8.3204,8.3199,0.712,0.7132,0.763,2
BO,YOLOv11-NCNN-Byte,11.2335,11.3016,0.6849,0.7132,0.764,2
BO,YOLOv8-NCNN-Byte,11.0323,11.0439,0.7032,0.711,0.7652,2
BO,CSRT,22.6919,15.9388,0.4816,0.5054,0.5563,2
BO,KCF,11.1214,9.631,0.2606,0.4087,0.1833,2
BO,MIL,14.6438,14.6028,0.2693,0.4004,0.1574,2
BO,BOOSTING,18.8205,18.827,0.2659,0.1212,0.1628,2
BO,TLD,8.8628,9.1086,0.1295,0.09,0.1397,2
BO,MEDIANFLOW,88.7765,88.2474,0.3277,0.0655,0.5079,2
BO,MOSSE,99.6532,99.5929,0.2589,0.0604,0.161,2
