Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
CM,YOLOv8-NCNN+CSRT-90,19.2307,19.2466,0.7528,0.9372,0.8757,10
CM,YOLOv8-NCNN+CSRT-90-class-rest,19.0313,19.0509,0.7528,0.9372,0.8757,10
CM,YOLOv8-NCNN+CSRT,19.0997,19.0855,0.7568,0.9293,0.8778,10
CM,YOLOv8-NCNN+KCF,98.4919,103.9448,0.7453,0.9027,0.8637,10
CM,YOLOv8-NCNN+KCF-15-class-rest,99.9974,105.8399,0.7453,0.9027,0.8637,10
CM,YOLOv8-NCNN+KCF-30,99.149,105.7966,0.7364,0.899,0.8603,10
CM,YOLOv8-NCNN+KCF-30-class-rest,97.3881,103.9198,0.7364,0.899,0.8603,10
CM,YOLOv11-NCNN+CSRT-90,19.2625,19.1423,0.7368,0.891,0.8465,10
CM,YOLOv11-NCNN+CSRT-90-class-rest,18.9832,18.868,0.7364,0.891,0.8465,10
CM,YOLOv8-NCNN+MEDIANFLOW-15-class-rest,99.2747,99.2853,0.7528,0.8904,0.8634,10
CM,YOLOv11-NCNN+CSRT,19.0596,19.1192,0.7387,0.8816,0.8569,10
CM,YOLOv8-NCNN+MOSSE-30,1117.5558,1217.0285,0.6969,0.8812,0.8442,10
CM,YOLOv8-NCNN+MOSSE-30-class-rest,1097.3347,1193.6448,0.6969,0.8812,0.8442,10
CM,YOLOv8-NCNN+MOSSE,1084.7513,1180.9522,0.7069,0.8776,0.848,10
CM,YOLOv8-NCNN+MOSSE-15-class-rest,1073.35,1168.7751,0.7069,0.8776,0.848,10
CM,YOLOv11-NCNN+KCF-30,102.5537,110.1014,0.7253,0.8747,0.8526,10
CM,YOLOv11-NCNN+KCF-30-class-rest,102.5198,110.1885,0.7249,0.8747,0.8526,10
CM,YOLOv11-NCNN+KCF,101.0201,109.9641,0.7282,0.8718,0.8447,10
CM,YOLOv8-NCNN-BoT,7.8948,7.8723,0.7299,0.8595,0.838,10
CM,YOLOv11-BoT,3.0288,3.0237,0.7603,0.8571,0.8465,6
CM,YOLOv8-NCNN+MEDIANFLOW-30-class-rest,100.5102,100.509,0.7108,0.8569,0.804,10
CM,YOLOv11-NCNN+MOSSE-30,1111.8549,1196.1278,0.691,0.8552,0.8382,10
CM,YOLOv11-NCNN+MOSSE-30-class-rest,1094.2065,1174.883,0.6908,0.8552,0.8382,10
CM,YOLOv8-BoT,2.9261,2.9226,0.7633,0.8551,0.8465,6
CM,YOLOv11-NCNN+MOSSE,1056.644,1143.0876,0.699,0.8548,0.8359,10
CM,YOLOv11-Byte,3.3788,3.3797,0.7604,0.8528,0.8459,6
CM,YOLOv8-NCNN+BOOSTING-60-class-rest,31.4106,30.9758,0.6939,0.8441,0.7998,10
CM,YOLOv8-NCNN+BOOSTING-30-class-rest,31.9072,31.4553,0.7091,0.8412,0.8129,10
CM,YOLOv11-NCNN-BoT,8.1102,8.0903,0.72,0.8407,0.831,10
CM,YOLOv11-NCNN-Byte,11.3289,11.2962,0.7126,0.829,0.8232,10
CM,YOLOv8-NCNN-Byte,10.9196,10.8828,0.6783,0.788,0.7779,10
CM,YOLOv8-Byte,3.2748,3.2743,0.6937,0.7704,0.7599,6
CM,CSRT,17.4633,17.4626,0.5426,0.754,0.6132,10
CM,YOLOv8-NCNN+MEDIANFLOW-60-class-rest,101.3586,101.2252,0.6466,0.7537,0.7217,10
CM,MIL,13.5954,13.574,0.4482,0.7277,0.4238,10
CM,BOOSTING,24.6796,24.8554,0.438,0.5824,0.4392,10
CM,MOSSE,1285.9876,687.0341,0.3503,0.5102,0.2951,10
CM,KCF,104.3515,70.5897,0.2752,0.3777,0.1944,10
CM,MEDIANFLOW,104.7373,89.2424,0.3096,0.3071,0.4107,10
CM,TLD,8.7163,8.6424,0.3053,0.3058,0.3062,10
