Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
FM,YOLOv8-NCNN+CSRT-90-class-rest,20.7781,20.7862,0.5862,0.8414,0.702,7
FM,YOLOv8-NCNN+CSRT-90,20.8467,20.8611,0.5858,0.8414,0.702,7
FM,YOLOv11-NCNN+CSRT,18.7764,20.3485,0.5558,0.7647,0.6753,7
FM,YOLOv8-NCNN+CSRT,18.2487,20.7561,0.5293,0.7376,0.6385,7
FM,YOLOv11-NCNN+CSRT-90,18.5082,20.5698,0.5217,0.734,0.639,7
FM,YOLOv8-NCNN+MEDIANFLOW-15-class-rest,100.1441,98.9395,0.5863,0.7332,0.7036,7
FM,YOLOv8-NCNN+MEDIANFLOW-30-class-rest,99.8065,99.4149,0.5693,0.7305,0.6943,7
FM,YOLOv8-NCNN+KCF,140.7597,144.1104,0.5522,0.7261,0.6571,7
FM,YOLOv8-NCNN+KCF-15-class-rest,128.5414,142.3674,0.552,0.7255,0.6571,7
FM,YOLOv8-NCNN+KCF-30,149.2969,164.2648,0.5376,0.7211,0.6496,7
FM,YOLOv8-NCNN+KCF-30-class-rest,148.1959,162.4208,0.5369,0.7205,0.6478,7
FM,YOLOv8-NCNN+MEDIANFLOW-60-class-rest,100.7943,99.8328,0.5395,0.7157,0.6733,7
FM,YOLOv8-NCNN+MOSSE,1595.3793,1611.4146,0.5459,0.7098,0.663,7
FM,YOLOv11-NCNN+KCF,144.4922,184.6858,0.5616,0.7042,0.68,7
FM,YOLOv8-NCNN+MOSSE-30,1629.6876,1639.7481,0.5153,0.6892,0.6357,7
FM,YOLOv11-NCNN+KCF-30,144.7152,169.084,0.5357,0.6874,0.6596,7
FM,YOLOv11-NCNN+CSRT-90-class-rest,18.0012,20.8593,0.4353,0.6167,0.5342,7
FM,YOLOv8-NCNN+BOOSTING-30-class-rest,47.8797,47.7921,0.4405,0.6007,0.5383,7
FM,YOLOv11-NCNN+MOSSE,1362.4738,1318.0738,0.4518,0.5806,0.5415,7
FM,YOLOv8-NCNN+MOSSE-15-class-rest,1464.2938,1310.4956,0.4339,0.5767,0.5287,7
FM,YOLOv11-NCNN+KCF-30-class-rest,131.3149,201.2664,0.4391,0.5721,0.5391,7
FM,YOLOv8-NCNN+MOSSE-30-class-rest,1382.1117,1304.852,0.4129,0.5611,0.5099,7
FM,YOLOv11-NCNN+MOSSE-30,1502.1777,1170.6366,0.4161,0.5538,0.515,7
FM,CSRT,55.4752,19.9163,0.3319,0.5368,0.3479,7
FM,MIL,14.0215,13.8971,0.2411,0.4577,0.2204,7
FM,YOLOv8-NCNN+BOOSTING-60-class-rest,47.5934,47.2959,0.3241,0.4477,0.3911,7
FM,YOLOv8-NCNN-BoT,56022.92,4.5136,0.3353,0.4435,0.4025,7
FM,YOLOv11-NCNN+MOSSE-30-class-rest,1246.0401,844.2339,0.318,0.4339,0.3942,7
FM,YOLOv8-NCNN-Byte,59939.1311,6.4376,0.299,0.4087,0.3596,7
FM,YOLOv11-NCNN-Byte,39863.0959,4.8632,0.2399,0.3271,0.2816,7
FM,YOLOv11-NCNN-BoT,41733.0147,4.5635,0.2465,0.3226,0.281,7
FM,YOLOv8-Byte,3.2656,3.2797,0.0288,0.2801,0.0,1
FM,YOLOv8-BoT,2.9667,2.9756,0.0282,0.2801,0.0,1
FM,YOLOv11-BoT,2.9918,3.0065,0.0236,0.2708,0.0,1
FM,YOLOv11-Byte,3.3351,3.3372,0.0222,0.2639,0.0,1
FM,MEDIANFLOW,102.2823,90.9192,0.2088,0.2521,0.1758,7
FM,BOOSTING,53.0677,52.0447,0.2044,0.2493,0.2062,7
FM,TLD,6.6984,5.254,0.0707,0.0838,0.0581,7
FM,KCF,492.9615,293.5501,0.0507,0.0671,0.0626,7
FM,MOSSE,5959.4366,113.799,0.0081,0.0116,0.0082,7
