Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
MO,YOLOv8-NCNN+CSRT-90-class-rest,21.5571,21.5849,0.5528,0.8077,0.6028,9
MO,YOLOv8-NCNN+CSRT-90,22.2446,22.2875,0.4852,0.7952,0.4974,6
MO,CSRT,22.2199,20.7214,0.4677,0.7189,0.5124,9
MO,YOLOv8-NCNN+CSRT,19.417,21.3514,0.4872,0.7169,0.532,9
MO,YOLOv11-NCNN+CSRT,19.9293,20.9512,0.4511,0.6133,0.4873,9
MO,YOLOv11-NCNN+CSRT-90-class-rest,19.6417,21.0833,0.4409,0.6126,0.4736,9
MO,YOLOv11-NCNN+CSRT-90,21.5312,21.424,0.3861,0.5975,0.3802,6
MO,MIL,13.8592,13.7969,0.3215,0.5822,0.3249,9
MO,YOLOv8-NCNN+KCF-30,178.1379,258.3597,0.3684,0.5352,0.4131,6
MO,BOOSTING,48.8687,48.8486,0.3501,0.5254,0.3642,9
MO,YOLOv8-NCNN+BOOSTING-30-class-rest,53.7948,54.3571,0.3688,0.5141,0.4078,9
MO,YOLOv8-NCNN+BOOSTING-60-class-rest,52.9825,53.1326,0.3452,0.4991,0.3534,9
MO,YOLOv8-NCNN+KCF-15-class-rest,128.175,203.8115,0.3436,0.4688,0.402,9
MO,YOLOv8-NCNN+KCF-30-class-rest,143.5767,219.129,0.3454,0.46,0.4019,9
MO,YOLOv8-NCNN+MOSSE-30,2353.8841,3298.8858,0.3024,0.4578,0.3451,6
MO,YOLOv8-NCNN+KCF,138.0012,203.8234,0.3316,0.4506,0.3838,9
MO,YOLOv8-NCNN+MEDIANFLOW-30-class-rest,95.8688,100.8015,0.3371,0.4369,0.3747,9
MO,YOLOv8-NCNN+MEDIANFLOW-15-class-rest,94.91,98.8367,0.3417,0.4331,0.3885,9
MO,YOLOv8-NCNN+MEDIANFLOW-60-class-rest,99.8284,101.4794,0.3297,0.418,0.3684,9
MO,YOLOv8-NCNN+MOSSE-15-class-rest,1698.0104,2651.2475,0.281,0.3845,0.3355,9
MO,YOLOv8-NCNN+MOSSE-30-class-rest,1643.9014,2566.4428,0.2795,0.3746,0.3197,9
MO,YOLOv8-NCNN+MOSSE,1723.2095,2710.0189,0.2737,0.3662,0.3179,9
MO,MEDIANFLOW,99.5674,89.4888,0.1982,0.3269,0.2137,9
MO,YOLOv11-NCNN+MOSSE-30,2091.8366,3158.0875,0.2141,0.3165,0.2349,6
MO,YOLOv11-NCNN+KCF-30-class-rest,138.0647,250.8486,0.2579,0.3085,0.2994,9
MO,YOLOv11-NCNN+KCF-30,176.9292,287.6015,0.2279,0.3026,0.2493,6
MO,YOLOv11-NCNN+KCF,137.3749,246.6286,0.2426,0.295,0.2739,9
MO,YOLOv11-NCNN+MOSSE,1383.0594,2557.0312,0.2246,0.2857,0.25,9
MO,YOLOv11-NCNN+MOSSE-30-class-rest,1509.3952,2512.3141,0.2248,0.2824,0.2564,9
MO,YOLOv11-BoT,61011.8161,1.5068,0.1539,0.2355,0.1798,6
MO,YOLOv8-BoT,58189.2839,1.4607,0.1549,0.2351,0.1799,6
MO,KCF,415.3772,251.8309,0.1528,0.2323,0.1572,9
MO,YOLOv11-Byte,58334.6884,1.6873,0.1535,0.2302,0.1792,6
MO,TLD,6.8258,5.1245,0.1499,0.2248,0.1542,9
MO,YOLOv8-NCNN-BoT,53245.456,3.4297,0.1592,0.2062,0.1753,9
MO,YOLOv11-NCNN-Byte,47856.667,4.9492,0.1522,0.2045,0.1797,9
MO,YOLOv11-NCNN-BoT,48242.4519,3.5644,0.1539,0.2044,0.1793,9
MO,MOSSE,4390.0038,1920.2698,0.1429,0.1958,0.1169,9
MO,YOLOv8-Byte,62227.9686,1.6461,0.085,0.1504,0.0932,6
MO,YOLOv8-NCNN-Byte,63877.5823,4.6582,0.1113,0.1472,0.1204,9
