Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
OCC,YOLOv8-NCNN+CSRT,18.985,18.8231,0.5572,0.8052,0.635,9
OCC,YOLOv8-NCNN+CSRT-90,18.8119,18.9678,0.5419,0.7789,0.5872,9
OCC,YOLOv8-NCNN+CSRT-90-class-rest,18.7488,18.903,0.5419,0.7789,0.5872,9
OCC,YOLOv11-NCNN+CSRT,19.4344,19.2295,0.518,0.7224,0.5988,9
OCC,YOLOv11-NCNN+CSRT-90,19.2551,19.1838,0.51,0.7021,0.5941,9
OCC,YOLOv11-NCNN+CSRT-90-class-rest,19.228,19.1112,0.51,0.7021,0.5941,9
OCC,CSRT,20.0279,18.5251,0.4517,0.6783,0.4824,9
OCC,YOLOv8-NCNN+KCF-15-class-rest,101.056,164.2529,0.4724,0.598,0.5652,9
OCC,YOLOv8-NCNN+KCF-30,103.4939,167.5283,0.4717,0.59,0.5549,9
OCC,YOLOv8-NCNN+KCF,108.5001,166.368,0.4629,0.5838,0.5507,9
OCC,YOLOv8-NCNN+BOOSTING-30-class-rest,45.0263,45.1554,0.4462,0.5825,0.5119,9
OCC,YOLOv8-NCNN+MOSSE-30,1507.0571,2138.8169,0.456,0.5743,0.5339,9
OCC,YOLOv8-NCNN+KCF-30-class-rest,98.7112,160.3487,0.459,0.5723,0.5384,9
OCC,YOLOv8-NCNN+MEDIANFLOW-15-class-rest,93.813,98.7105,0.4541,0.562,0.5401,9
OCC,YOLOv8-NCNN+MOSSE-15-class-rest,1292.3825,2243.7103,0.4311,0.548,0.5291,9
OCC,YOLOv8-NCNN+MEDIANFLOW-30-class-rest,95.0545,100.349,0.4425,0.5433,0.5179,9
OCC,YOLOv11-NCNN+KCF-30,113.8014,193.8562,0.4419,0.5376,0.5187,9
OCC,YOLOv11-NCNN+KCF-30-class-rest,110.758,192.46,0.4402,0.5356,0.5167,9
OCC,YOLOv8-NCNN+MOSSE,1506.7401,2393.2484,0.4264,0.5336,0.5152,9
OCC,YOLOv8-NCNN+MEDIANFLOW-60-class-rest,99.2129,101.6998,0.4239,0.5324,0.5047,9
OCC,YOLOv11-NCNN+KCF,111.7918,185.8956,0.4299,0.5263,0.4925,9
OCC,YOLOv8-NCNN+MOSSE-30-class-rest,1301.1005,2215.5727,0.4184,0.5178,0.4896,9
OCC,YOLOv8-NCNN+BOOSTING-60-class-rest,44.3273,43.2952,0.3485,0.4654,0.363,9
OCC,MIL,13.9499,13.8895,0.2854,0.4482,0.2257,9
OCC,YOLOv11-NCNN+MOSSE-30,1429.1874,2603.2072,0.364,0.4404,0.4311,9
OCC,YOLOv11-NCNN+MOSSE-30-class-rest,1368.8066,2570.186,0.364,0.4404,0.4311,9
OCC,YOLOv11-NCNN+MOSSE,1330.468,2645.578,0.3668,0.4369,0.4292,9
OCC,BOOSTING,41.0829,40.5073,0.2543,0.3943,0.2192,9
OCC,YOLOv11-NCNN-BoT,48242.3349,4.3612,0.261,0.3006,0.2979,9
OCC,YOLOv11-NCNN-Byte,47856.5297,6.0879,0.256,0.299,0.2978,9
OCC,TLD,8.246,7.2054,0.1813,0.2686,0.1682,9
OCC,YOLOv8-NCNN-BoT,41283.2908,4.3277,0.241,0.2681,0.2739,9
OCC,YOLOv8-NCNN-Byte,48739.4154,5.7759,0.2356,0.2678,0.2742,9
OCC,KCF,289.3181,177.8669,0.1634,0.2487,0.1664,9
OCC,MEDIANFLOW,103.7593,89.6954,0.1599,0.2227,0.1701,9
OCC,MOSSE,2969.4691,2165.1977,0.1254,0.1948,0.1145,9
OCC,YOLOv8-Byte,93340.3082,0.8192,0.069,0.0865,0.0763,4
OCC,YOLOv8-BoT,87282.4667,0.7298,0.0688,0.0865,0.0763,4
OCC,YOLOv11-Byte,87500.3524,0.8503,0.0622,0.0855,0.0638,4
OCC,YOLOv11-BoT,91516.2188,0.7511,0.0616,0.0855,0.0638,4
