Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
SV,YOLOv8-NCNN+KCF,114.3497,118.4899,0.7658,0.9192,0.9035,10
SV,YOLOv8-NCNN+KCF-15-class-rest,116.6549,121.1292,0.7656,0.9188,0.9035,10
SV,YOLOv8-NCNN+MEDIANFLOW-15-class-rest,98.8212,98.8976,0.7859,0.9076,0.9173,10
SV,YOLOv8-NCNN+CSRT,18.8898,18.8756,0.7198,0.8984,0.8572,10
SV,YOLOv8-NCNN+KCF-10,112.429,117.2982,0.7547,0.8963,0.8882,10
SV,YOLOv8-NCNN+MOSSE-10,1126.8732,1208.2369,0.7602,0.8949,0.9003,10
SV,YOLOv8-NCNN+MOSSE,1142.88,1232.1642,0.7544,0.8935,0.8969,10
SV,YOLOv8-NCNN+KCF-30,113.4898,118.0674,0.7318,0.8893,0.8702,10
SV,YOLOv8-NCNN+KCF-30-class-rest,112.2505,116.6546,0.7314,0.8889,0.869,10
SV,YOLOv8-NCNN+MEDIANFLOW-30-class-rest,99.4798,99.5503,0.7568,0.8841,0.8946,10
SV,YOLOv11-NCNN+KCF-30,121.7637,127.3728,0.7321,0.8738,0.8735,10
SV,YOLOv11-NCNN+CSRT,19.0126,19.0723,0.7146,0.8737,0.8614,10
SV,YOLOv11-NCNN+KCF,120.5932,125.6824,0.735,0.8681,0.8563,10
SV,YOLOv8-NCNN+MOSSE-30,1208.0455,1300.3589,0.7139,0.8588,0.8476,10
SV,YOLOv8-NCNN+CSRT-90-class-rest,18.7281,18.7476,0.6811,0.8586,0.7847,10
SV,YOLOv8-NCNN+CSRT-90,18.8125,18.8284,0.6808,0.8586,0.7847,10
SV,YOLOv8-NCNN+MEDIANFLOW-60-class-rest,100.5743,100.6433,0.7164,0.8571,0.8617,10
SV,YOLOv11-NCNN+CSRT-90,18.8367,18.7165,0.6881,0.8539,0.8301,10
SV,YOLOv11-NCNN+MOSSE,1167.5749,1216.2586,0.7362,0.8494,0.8664,10
SV,YOLOv11-NCNN+MOSSE-30,1229.3551,1270.2388,0.7005,0.8263,0.8391,10
SV,YOLOv8-NCNN+KCF-adaptive,57.0163,61.3277,0.6639,0.8079,0.7777,10
SV,YOLOv8-NCNN+MOSSE-15-class-rest,1058.0986,1035.8444,0.676,0.8004,0.8028,10
SV,YOLOv11-NCNN+KCF-30-class-rest,111.1749,141.4149,0.6629,0.7907,0.7877,10
SV,YOLOv8-NCNN+MOSSE-adaptive,572.3368,643.9245,0.6832,0.7896,0.8099,10
SV,YOLOv11-NCNN+CSRT-90-class-rest,18.2827,18.7832,0.6272,0.7718,0.7567,10
SV,YOLOv8-NCNN+MOSSE-30-class-rest,1034.6907,1063.0507,0.6422,0.7691,0.7595,10
SV,YOLOv11-NCNN+MOSSE-30-class-rest,1043.5831,1024.3198,0.6317,0.7423,0.7546,10
SV,YOLOv8-NCNN+BOOSTING-30-class-rest,36.9721,36.0828,0.5973,0.6958,0.7022,10
SV,YOLOv8-Byte,3.2822,3.2774,0.596,0.6729,0.6526,2
SV,YOLOv8-BoT,2.9761,2.9656,0.5952,0.6729,0.6526,2
SV,YOLOv11-Byte,3.3968,3.3994,0.5864,0.671,0.6276,2
SV,YOLOv11-BoT,3.0586,3.0433,0.584,0.671,0.6276,2
SV,YOLOv11-NCNN-BoT,29215.4817,6.391,0.5253,0.5916,0.5902,10
SV,YOLOv8-NCNN-BoT,28452.4952,6.3444,0.5193,0.5862,0.5843,10
SV,YOLOv8-NCNN+BOOSTING-60-class-rest,36.6537,35.5624,0.4992,0.5855,0.5866,10
SV,YOLOv11-NCNN-Byte,27907.3649,8.8738,0.5106,0.5798,0.5795,10
SV,YOLOv8-NCNN-Byte,28336.1925,8.6281,0.5021,0.567,0.5718,10
SV,CSRT,43.4159,17.1596,0.3854,0.5073,0.4019,10
SV,MIL,14.0491,13.9552,0.2564,0.3955,0.1805,10
SV,BOOSTING,33.087,32.6397,0.21,0.2093,0.1543,10
SV,KCF,213.5733,139.6892,0.1429,0.2035,0.1046,10
SV,MEDIANFLOW,104.5018,89.2627,0.2086,0.1633,0.2271,10
SV,TLD,8.4313,7.9445,0.1293,0.1405,0.1007,10
SV,MOSSE,2777.6688,333.5261,0.1179,0.0906,0.0581,10
