Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
1O,YOLOv8-Byte,3.2623,3.2623,0.9203,1.0,1.0,4
1O,YOLOv8-BoT,2.9367,2.9367,0.9197,1.0,1.0,4
1O,YOLOv11-Byte,3.3729,3.3729,0.9159,1.0,1.0,4
1O,YOLOv11-BoT,3.027,3.027,0.9155,1.0,1.0,4
1O,YOLOv8-NCNN+KCF-30,39.3532,39.3532,0.9101,1.0,1.0,3
1O,YOLOv11-NCNN+KCF-30,40.8431,40.8431,0.9053,1.0,1.0,3
1O,YOLOv11-NCNN+CSRT-90,16.2898,16.2898,0.8856,1.0,1.0,3
1O,YOLOv8-NCNN+CSRT-90,16.1735,16.1735,0.8836,1.0,1.0,3
1O,YOLOv8-NCNN+MOSSE-30,354.6162,354.6162,0.8609,1.0,1.0,3
1O,YOLOv11-NCNN+MOSSE-30,358.3808,358.3808,0.8569,1.0,1.0,3
1O,YOLOv8-NCNN+MEDIANFLOW-15-class-rest,98.8952,98.8916,0.8093,0.9753,0.9568,12
1O,YOLOv8-NCNN+KCF,101.2255,102.7768,0.7944,0.9749,0.9409,12
1O,YOLOv8-NCNN+KCF-15-class-rest,103.0822,104.6292,0.7943,0.9746,0.9409,12
1O,YOLOv11-NCNN+KCF,105.9522,107.9492,0.792,0.971,0.941,12
1O,YOLOv8-NCNN+CSRT,18.8924,18.8921,0.7595,0.9694,0.9072,12
1O,YOLOv11-NCNN+CSRT,18.5988,18.5988,0.7612,0.9688,0.9142,12
1O,YOLOv8-NCNN+MOSSE,1105.4954,1130.8828,0.7769,0.9684,0.9515,12
1O,YOLOv8-NCNN+KCF-30-class-rest,100.4066,101.908,0.7775,0.9658,0.9299,12
1O,YOLOv8-NCNN+CSRT-90-class-rest,18.6141,18.6141,0.7378,0.96,0.8736,12
1O,YOLOv8-NCNN+MEDIANFLOW-30-class-rest,99.5068,99.5049,0.7676,0.9356,0.9083,12
1O,YOLOv11-NCNN+KCF-30-class-rest,98.7547,120.6782,0.7184,0.8941,0.8613,12
1O,YOLOv8-NCNN+MOSSE-15-class-rest,1016.0467,949.3302,0.7116,0.8907,0.8732,12
1O,YOLOv11-NCNN+MOSSE,1004.3711,1072.0995,0.7193,0.8875,0.8772,12
1O,YOLOv11-NCNN+CSRT-90-class-rest,18.3418,18.8427,0.6924,0.886,0.8291,12
1O,YOLOv8-NCNN+MOSSE-30-class-rest,1023.9873,998.2972,0.6942,0.8844,0.8613,12
1O,YOLOv8-NCNN+MEDIANFLOW-60-class-rest,100.4602,100.3698,0.695,0.8487,0.8234,12
1O,YOLOv8-NCNN+BOOSTING-30-class-rest,34.5034,33.9115,0.6719,0.8237,0.7983,12
1O,YOLOv11-NCNN+MOSSE-30-class-rest,913.1282,828.3237,0.6392,0.8086,0.7939,12
1O,YOLOv8-NCNN-BoT,23711.7358,6.6276,0.6502,0.7725,0.7621,12
1O,YOLOv8-NCNN+BOOSTING-60-class-rest,34.3478,33.6462,0.596,0.7367,0.7025,12
1O,YOLOv8-NCNN-Byte,23615.6588,9.3515,0.6208,0.7365,0.7286,12
1O,YOLOv11-NCNN-BoT,24347.6501,6.7429,0.5904,0.6892,0.6827,12
1O,CSRT,38.4361,17.6911,0.4721,0.686,0.5284,12
1O,YOLOv11-NCNN-Byte,23258.2151,8.5174,0.5809,0.6807,0.6763,12
1O,MIL,13.8634,13.7828,0.3694,0.6416,0.3102,12
1O,BOOSTING,34.5845,34.0771,0.3149,0.3932,0.2915,12
1O,MOSSE,2990.7885,401.78,0.2216,0.3527,0.2196,12
1O,KCF,225.5122,141.6212,0.1935,0.2678,0.1522,12
1O,MEDIANFLOW,105.3543,90.1151,0.2909,0.2511,0.3471,12
1O,TLD,8.7547,8.3746,0.2352,0.2256,0.2397,12
