Category,Tracker,Avg FPS,Valid FPS,Avg IoU,Precision (CLE < 20px),Success Rate (IoU > 0.5),Sequences Count
SO,YOLOv8-NCNN+CSRT-90-class-rest,21.1261,21.2574,0.5381,0.8412,0.6209,11
SO,YOLOv8-NCNN+CSRT-90,21.3283,21.4649,0.5378,0.8412,0.6209,11
SO,YOLOv8-NCNN+CSRT,19.3441,20.8072,0.4816,0.7481,0.5593,11
SO,CSRT,30.2167,20.5482,0.4251,0.7393,0.4676,11
SO,YOLOv11-NCNN+CSRT,19.9056,20.7383,0.4654,0.6996,0.5445,11
SO,YOLOv11-NCNN+CSRT-90,20.1162,21.3698,0.4408,0.6863,0.5027,11
SO,MIL,13.8599,13.8091,0.2921,0.6166,0.2597,11
SO,YOLOv11-NCNN+CSRT-90-class-rest,19.7911,21.5144,0.3858,0.6117,0.436,11
SO,YOLOv8-NCNN+KCF-30,169.4019,232.1471,0.3893,0.5546,0.4707,11
SO,YOLOv8-NCNN+KCF-30-class-rest,162.4965,222.785,0.3785,0.5397,0.4562,11
SO,YOLOv8-NCNN+KCF-15-class-rest,150.4288,211.5844,0.3742,0.5371,0.454,11
SO,YOLOv8-NCNN+MOSSE-30,1932.7102,2468.1675,0.3656,0.5325,0.4467,11
SO,YOLOv8-NCNN+KCF,164.6626,214.7024,0.3666,0.5258,0.4421,11
SO,YOLOv11-NCNN+KCF,171.4676,258.7565,0.37,0.5066,0.4493,11
SO,YOLOv11-NCNN+KCF-30,175.2645,256.5147,0.3608,0.5017,0.4406,11
SO,YOLOv8-NCNN+BOOSTING-30-class-rest,53.6678,53.9096,0.3373,0.4987,0.3872,11
SO,YOLOv8-NCNN+MEDIANFLOW-30-class-rest,96.4613,100.4516,0.3594,0.4978,0.4324,11
SO,YOLOv8-NCNN+MEDIANFLOW-15-class-rest,95.951,99.1309,0.3564,0.4934,0.4307,11
SO,YOLOv8-NCNN+MEDIANFLOW-60-class-rest,99.9259,101.2475,0.3457,0.4901,0.4212,11
SO,YOLOv8-NCNN+MOSSE,1908.035,2651.6144,0.3337,0.4821,0.4103,11
SO,YOLOv8-NCNN+BOOSTING-60-class-rest,53.3654,53.3272,0.3175,0.4815,0.3462,11
SO,BOOSTING,56.568,56.8042,0.2633,0.4386,0.278,11
SO,YOLOv11-NCNN+KCF-30-class-rest,164.0514,275.6309,0.298,0.4267,0.3623,11
SO,YOLOv8-NCNN+MOSSE-15-class-rest,1663.5841,2352.7569,0.2662,0.4092,0.3362,11
SO,YOLOv8-NCNN+MOSSE-30-class-rest,1590.6621,2298.9738,0.2697,0.4047,0.3304,11
SO,YOLOv11-NCNN+MOSSE,1561.7086,2613.0649,0.2255,0.3267,0.268,11
SO,YOLOv11-NCNN+MOSSE-30,1700.8478,2454.6177,0.2236,0.3257,0.2725,11
SO,MEDIANFLOW,104.2232,90.6675,0.1844,0.3092,0.1997,11
SO,YOLOv11-NCNN+MOSSE-30-class-rest,1519.0944,2250.1204,0.1612,0.2494,0.1957,11
SO,KCF,485.8455,294.0383,0.1333,0.2237,0.1432,11
SO,TLD,7.1625,5.6645,0.1109,0.1855,0.1024,11
SO,YOLOv8-NCNN-BoT,56161.0166,3.5521,0.1089,0.1726,0.1368,11
SO,MOSSE,5622.8625,1721.1478,0.08,0.1525,0.0791,11
SO,YOLOv8-NCNN-Byte,65231.8039,4.8217,0.0813,0.1334,0.0982,11
SO,YOLOv8-Byte,74672.8996,1.3113,0.0609,0.1252,0.061,5
SO,YOLOv8-BoT,69826.5667,1.1789,0.0607,0.1252,0.061,5
SO,YOLOv11-BoT,73213.5734,1.2022,0.054,0.1226,0.0511,5
SO,YOLOv11-Byte,70000.949,1.3477,0.0542,0.1212,0.0511,5
SO,YOLOv11-NCNN-BoT,52745.4822,3.5548,0.0471,0.0863,0.053,11
SO,YOLOv11-NCNN-Byte,51759.3962,4.0564,0.0404,0.0786,0.0425,11
